s,original,noisy,hamming,input delta
75,-5,-4.9,100,-0.1
76,-5.9,-5.7,92,-0.2
77,-6.7,-6.3,70,-0.4
78,-7.3,-6.9,97,-0.4
79,-7.8,-7.3,97,-0.5
80,-8.1,-8.2,100,0.1
81,-8.2,-8.9,97,0.7
82,-8,-7.8,100,-0.2
83,-7.7,-8.2,100,0.5
84,-7.1,-6.8,87,-0.3
85,-6.3,-5.8,57,-0.5
86,-5.3,-6.2,50,0.9
87,-4.2,-3.4,57,-0.8
88,-2.9,-3.3,67,0.4
89,-1.5,-2.6,77,1.1
90,0,-0.9,40,0.9
91,1.5,1.8,87,-0.3
92,3,1.9,2,1.1
93,4.4,4.3,100,0.1
94,5.8,5.8,100,0
95,7,8.2,47,-1.2
96,8,9,50,-1
97,8.9,7.2,0,1.7
98,9.5,9.3,100,0.2
99,9.9,10.3,100,-0.4
100,10,9.5,100,0.5
101,9.9,8.5,92,1.4
102,9.5,10.2,100,-0.7
103,8.9,8.7,95,0.2
104,8,8.1,97,-0.1
105,7,6.7,100,0.3
106,5.8,5.4,77,0.4
107,4.4,4.8,40,-0.4
108,3,3.4,70,-0.4
109,1.5,0.6,20,0.9
110,0,0.7,55,-0.7
111,-1.5,-2.7,77,1.2
112,-2.9,-2.7,100,-0.2
113,-4.2,-3.2,50,-1
114,-5.3,-6.4,45,1.1
115,-6.3,-7.1,57,0.8
116,-7.1,-7.3,97,0.2
117,-7.7,-8.4,100,0.7
118,-8,-7.2,95,-0.8
119,-8.2,-8.7,97,0.5
120,-8.1,-8.7,97,0.6
121,-7.8,-8.2,100,0.4
122,-7.3,-9.5,12,2.2
123,-6.7,-6.5,87,-0.2
124,-5.9,-6.2,65,0.3
125,-5,-5.7,85,0.7
126,-4,-5.1,82,1.1
127,-3,-3,100,0
128,-2,-1.8,100,-0.2
129,-1,0,32,-1
130,0,-0.1,100,0.1
131,0.9,1.1,72,-0.2
132,1.7,1.7,100,0
133,2.3,2,62,0.3
134,2.8,2.7,87,0.1
135,3.2,3.6,85,-0.4
136,3.4,3.3,100,0.1
137,3.5,2.1,5,1.4
138,3.5,1.9,0,1.6
139,3.3,2.5,37,0.8
140,3.1,3.4,82,-0.3
141,2.8,2.5,82,0.3
142,2.4,1.2,5,1.2
143,1.9,2.7,22,-0.8
144,1.5,0.8,25,0.7
145,1.1,0.3,7,0.8
146,0.7,-0.3,55,1
147,0.4,1.9,0,-1.5
148,0.2,0,95,0.2
149,0,-0.8,52,0.8
150,0,0.1,97,-0.1
151,0,-0.4,97,0.4
152,0.2,-0.1,95,0.3
153,0.4,0.6,72,-0.2
154,0.7,1.1,40,-0.4
155,1.1,0.9,72,0.2
156,1.5,0.9,55,0.6
157,1.9,1.4,72,0.5
158,2.4,2.6,77,-0.2
159,2.8,2.9,90,-0.1
160,3.1,2.7,60,0.4
161,3.3,3.7,97,-0.4
162,3.5,3.7,97,-0.2
163,3.5,4.5,70,-1
164,3.4,4,85,-0.6
165,3.2,2.7,55,0.5
166,2.8,2.5,82,0.3
167,2.3,1.4,27,0.9
168,1.7,1.6,92,0.1
169,0.9,0.5,42,0.4
170,0,0,100,0
171,-1,-0.9,92,-0.1
172,-2,-2.5,82,0.5
173,-3,-3.4,65,0.4
174,-4,-4.9,82,0.9
175,-5,-6,82,1
176,-5.9,-6.7,32,0.8
177,-6.7,-6.8,100,0.1
178,-7.3,-6,17,-1.3
179,-7.8,-8.6,97,0.8
180,-8.1,-7.8,100,-0.3
181,-8.2,-8.7,97,0.5
182,-8,-8.1,100,0.1
183,-7.7,-7.5,100,-0.2
184,-7.1,-6.2,55,-0.9
185,-6.3,-5.5,52,-0.8
186,-5.3,-5.6,92,0.3
187,-4.2,-4.7,97,0.5
188,-2.9,-4,27,1.1
189,-1.5,-0.3,5,-1.2
190,0,-1.8,0,1.8
191,1.5,1.4,100,0.1
192,3,3.4,70,-0.4
193,4.4,5.1,22,-0.7
194,5.8,5.9,97,-0.1
195,7,7.3,80,-0.3
196,8,7.1,50,0.9
197,8.9,8.7,95,0.2
198,9.5,9.3,100,0.2
199,9.9,10.8,95,-0.9
Average,70.36,,,
